year,month,attack_duration
2022.0,9.0,0 days 00:59:00
2022.0,10.0,0 days 08:00:00
2022.0,11.0,0 days 03:00:00
2022.0,12.0,0 days 03:00:00
2023.0,1.0,0 days 06:00:00
2023.0,2.0,0 days 14:10:00
2023.0,3.0,0 days 04:30:00
2023.0,4.0,0 days 04:50:00
2023.0,5.0,0 days 08:30:00
2023.0,6.0,0 days 06:00:00
2023.0,7.0,0 days 06:00:00
2023.0,8.0,0 days 07:00:00
2023.0,9.0,0 days 06:00:00
2023.0,10.0,0 days 09:00:00
2023.0,11.0,0 days 08:00:00
2023.0,12.0,0 days 13:00:00
2024.0,1.0,0 days 12:00:00
2024.0,2.0,0 days 00:00:00
2024.0,3.0,0 days 07:00:00
